18872.9	2985.8	12012.6	5560.1																
22005.6	3827.1	13626.2	7225.8																
27194.5	4676.3	16240.5	9119.6																
35673.2	5284.8	20815.9	11271.0																
48637.5	10421.8	28297.5	20381.9																
61339.9	12451.8	36228.1	23499.9																
71813.6	12576.4	43123.3	24133.9																
79715.0	15160.7	47549.7	26967.2																
85195.5	15223.5	51502.8	26849.7																
90564.4	16159.8	56667.5	29896.2																
100280.1	20634.4	63749.1	39273.3																
110863.1	22024.4	68662.2	42183.6																
121717.0	26947.9	74227.9	51378.2																
137422.0	36287.9	79735.7	70483.5																
161840.2	49103.3	89395.3	95539.1																
187318.9	62648.1	101872.5	116921.8																
219438.5	77597.9	115364.2	140974.7																
270092.3	93627.1	137737.4	166924.1																
319244.6	100394.9	158899.0	179921.5																
348517.7	82029.7	174538.1	150648.1																
412119.3	107022.8	201581.8	201722.3																
487940.2	123240.6	244747.2	236402.0																
538580.0	129359.3	275444.3	244160.2																
592963.2	137131.4	306664.2	258168.9																
643563.1	143883.8	338031.9	264241.8																
688858.2	141166.8	371921.5	245502.9																
746395.1	138419.3	410806.8	243386.5																
832035.9	153309.4	456518.6	278099.2																
919281.1	164128.8	506135.1	305010.1																
986515.2	172373.6	552632.3	315627.3																
1013567.0	179278.8	560811.6	322215.2																
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
